contratante,contratado,objeto_contrato,data_inicio,data_final,valor_mensal,filename
Maria Aparecida Santos Silva,Advocacia Especializada Dr. Roberto Mendes,"Prestação de serviços advocatícios para acompanhamento de processo de inventário e partilha de bens, incluindo elaboração de petições, comparecimento a audiências, negociação entre herdeiros e regularização de documentação imobiliária.",10/02/2024,10/08/2024,2800.0,001_z7fp.pdf
Tech Solutions Ltda,CloudServ Tecnologia S.A.,"Prestação de serviços de hospedagem em nuvem, incluindo infraestrutura como serviço (IaaS), monitoramento 24/7, backup diário automatizado, suporte técnico especializado e garantia de disponibilidade de 99,9% (SLA).",15/01/2024,14/01/2025,8500.0,002_er4p.pdf
Escola Infantil Pequenos Gênios Ltda.,NutriKids Alimentação Escolar Eireli,"Prestação de serviços de fornecimento de alimentação escolar, incluindo preparo e distribuição de 02 lanches e 01 almoço diários para aproximadamente 120 alunos, com cardápio elaborado por nutricionista, atendimento a restrições alimentares e alergias, e fornecimento de todos os insumos e utensílios.",05/02/2024,20/12/2024,28500.0,003_pthm.pdf
Shopping Center Vitória Mall S.A. - 56.789.432/0001-65,Climatizar Ar Condicionado Industrial Ltda - 67.890.321/0001-76,"Prestação de serviços de manutenção preventiva e corretiva do sistema central de ar condicionado do shopping, incluindo 04 chillers de 500 TR, torres de resfriamento, bombas, dutos e fan-coils das áreas comuns, com visitas técnicas semanais e atendimento emergencial.",01/07/2024,30/06/2026,52000.0,004_9i69.pdf
Ana Paula Ribeiro Costa MEI,WebDev Curitiba Desenvolvimento de Software Ltda,"Prestação de serviços de desenvolvimento de loja virtual (e-commerce) personalizada, incluindo design responsivo, integração com meios de pagamento (PIX, cartões e boleto), integração com Correios e transportadoras, painel administrativo e hospedagem por 12 meses.",01/03/2024,30/06/2024,3200.0,005_91eh.pdf
Tech Solutions Ltda,CloudServ Tecnologia S.A.,"Prestação de serviços de hospedagem em nuvem, incluindo infraestrutura como serviço (IaaS), monitoramento 24/7, backup diário automatizado, suporte técnico especializado e garantia de disponibilidade de 99,9% (SLA).",15/01/2024,14/01/2025,8500.0,006_plga.pdf
Hospital Regional São Lucas S.A.,TechMed Sistemas de Informação Ltda,"Prestação de serviços de desenvolvimento, implantação e manutenção de sistema de gestão hospitalar integrado (HIS), incluindo módulos de prontuário eletrônico, gestão de leitos, farmácia, faturamento SUS e convênios, com treinamento de usuários e suporte técnico remoto e presencial.",01/06/2024,31/05/2026,45000.0,007_ywro.pdf
Restaurante Sabor da Terra Ltda - 78.901.234/0001-56,Criativa Marketing Digital ME - 89.012.345/0001-67,"Prestação de serviços de marketing digital, incluindo gestão de redes sociais (Instagram, Facebook e TikTok), criação de conteúdo visual e textual, campanhas de mídia paga com verba gerenciada, relatórios analíticos mensais e consultoria estratégica.",01/05/2024,30/04/2025,4500.0,008_hhvs.pdf
Maria Aparecida Santos Silva,Advocacia Especializada Dr. Roberto Mendes,"Prestação de serviços advocatícios para acompanhamento de processo de inventário e partilha de bens, incluindo elaboração de petições, comparecimento a audiências, negociação entre herdeiros e regularização de documentação imobiliária.",10/02/2024,10/08/2024,2800.0,009_vvsb.pdf
Maria Aparecida Santos Silva,Advocacia Especializada Dr. Roberto Mendes,"Prestação de serviços advocatícios para acompanhamento de processo de inventário e partilha de bens, incluindo elaboração de petições, comparecimento a audiências, negociação entre herdeiros e regularização de documentação imobiliária.",10/02/2024,10/08/2024,2800.0,010_vxwr.pdf
Shopping Center Vitória Mall S.A.,Climatizar Ar Condicionado Industrial Ltda.,"Prestação de serviços de manutenção preventiva e corretiva do sistema central de ar condicionado do shopping, incluindo 04 chillers de 500 TR, torres de resfriamento, bombas, dutos e fan-coils das áreas comuns, com visitas técnicas semanais e atendimento emergencial.",01/07/2024,30/06/2026,52000.0,011_9dos.pdf
Supermercados Família Feliz Eireli,LimpaTudo Serviços de Limpeza Ltda,"Prestação de serviços de limpeza e conservação predial, incluindo limpeza diária de pisos, banheiros e vidraças, reposição de materiais de higiene, coleta e destinação de resíduos, em regime de 12 horas diárias, de segunda a sábado.",01/03/2024,28/02/2026,15200.0,012_7357.pdf
Maria Aparecida Santos Silva - 123.456.789-00,Advocacia Especializada Dr. Roberto Mendes - 45.678.901/0001-23,"Prestação de serviços advocatícios para acompanhamento de processo de inventário e partilha de bens, incluindo elaboração de petições, comparecimento a audiências, negociação entre herdeiros e regularização de documentação imobiliária.",10/02/2024,10/08/2024,2800.0,013_mv6j.pdf
Universidade Corporativa Inovação S.A.,EduTech Plataformas de Ensino Ltda.,"Prestação de serviços de licenciamento e customização de plataforma LMS (Learning Management System) para educação corporativa, incluindo hospedagem em nuvem, customização visual, criação de até 50 trilhas de aprendizagem, integração com sistema de RH e suporte técnico em horário comercial.",01/08/2024,31/07/2026,28000.0,014_3075.pdf
Ana Paula Ribeiro Costa MEI,WebDev Curitiba Desenvolvimento de Software Ltda,"Prestação de serviços de desenvolvimento de loja virtual (e-commerce) personalizada, incluindo design responsivo, integração com meios de pagamento (PIX, cartões e boleto), integração com Correios e transportadoras, painel administrativo, e hospedagem por 12 meses.",01/03/2024,30/06/2024,3200.0,015_h44t.pdf
Indústria Metalúrgica Aço Forte S.A.,Vigitec Segurança Patrimonial Ltda.,"Prestação de serviços de vigilância patrimonial armada, com cobertura 24 horas, incluindo 12 vigilantes em turnos rotativos, rondas perimetrais, controle de acesso de veículos e pessoas, monitoramento por CFTV e pronta resposta a ocorrências.",01/04/2024,31/03/2026,68000.0,016_jyde.pdf
Ana Paula Ribeiro Costa MEI,WebDev Curitiba Desenvolvimento de Software Ltda,"Prestação de serviços de desenvolvimento de loja virtual (e-commerce) personalizada, incluindo design responsivo, integração com meios de pagamento (PIX, cartões e boleto), integração com Correios e transportadoras, painel administrativo e hospedagem por 12 meses.",01/03/2024,30/06/2024,3200.0,017_2mm9.pdf
